,tweet
0,"['nz', 'based', 'chinese', 'colleague', 'arrived', 'auckland', 'air', 'nz', 'shanghai', 'morning', 'wa', 'amazed', 'none', 'nz', 'custom', 'staff', 'wearing', 'face', 'mask', 'know', 'shell', 'right', 'attitude', 'surely', 'wed', 'take', 'basic', 'precaution']"
1,"['death', 'influenza', 'im', 'concluding', 'covid', 'scary', 'dangerous', 'regarding', 'actual', 'data', 'stay', 'safe', 'apply', 'health', 'rule', 'like', 'washing', 'hand', 'wear', 'mask', 'sick']"
2,"['everyone', 'corrupted', 'ever', 'said', 'take', 'care', 'infection', 'sign', 'health', 'rule', 'like', 'washing', 'hand', 'wear', 'mask', 'applying', 'guideline']"
3,"['id', 'love', 'read', 'deep', 'dive', 'social', 'psychological', 'history', 'wearing', 'face', 'mask', 'cultural', 'implication', 'wearing', 'one', 'v', 'wearing', 'one', 'new', 'phenomenon']"
4,"['funny', 'lyon', 'every', 'pharmacy', 'ive', 'passed', 'ha', 'sign', 'saying', 'mask', 'yet', 'literally', 'one', 'wearing', 'people', 'literally', 'stocking', 'mask', 'probs', 'never', 'gonna', 'use']"
5,"['wear', 'mask', 'put', 'happy', 'face']"
6,"['eradicated', 'wearing', 'mask', 'meanwhile', 'anyways', 'dont', 'share', 'cure']"
7,"['please', 'dont', 'shit', 'people', 'wear', 'mask', 'make', 'feel', 'better', 'doesnt', 'hurt', 'lot', 'evidence', 'country', 'people', 'wear', 'mask', 'flattened', 'curve', 'take', 'easy', 'people', 'theyre', 'hurting']"
8,"['yes', 'shes', 'right', 'ive', 'heard', 'someone', 'wearing', 'mask', 'four', 'day', 'row', 'would', 'full', 'germ', 'really', 'unhygienic', 'important', 'use', 'proper', 'protocol']"
9,"['dumb', 'shit', 'trump', 'ha', 'said', 'office', 'anger', 'face', 'mask', 'announced', 'major', 'barrier', 'transmission', 'amp', 'inability', 'even', 'say', 'hed', 'wear', 'one', 'appropriate', 'circumstance', 'undermines', 'principle', 'u', 'fucked', 'smh']"
